년도,단어,빈도수
2017,화합물,461
2017,유기,408
2017,용도,354
2017,수지,298
2017,소자,284
2017,발광,281
2017,필름,263
2017,폴리,193
2017,중합체,183
2017,함유,178
2018,화합물,373
2018,용도,330
2018,수지,305
2018,필름,292
2018,유기,256
2018,소자,204
2018,치료,190
2018,코팅,179
2018,재료,177
2018,발광,172
2019,화합물,426
2019,수지,357
2019,필름,321
2019,용도,307
2019,유기,281
2019,소자,237
2019,물질,211
2019,치료,199
2019,발광,182
2019,폴리,173
2020,화합물,481
2020,유기,353
2020,용도,350
2020,소자,288
2020,발광,260
2020,필름,228
2020,수지,223
2020,복합,219
2020,신규,203
2020,치료,203
2021,유기,382
2021,화합물,339
2021,발광,336
2021,소자,319
2021,용도,292
2021,신규,276
2021,수지,269
2021,필름,268
2021,콘크리트,213
2021,시공,162
